,Date,Home_Team,Away_Team,Spread_Result,Line,O/U_Result
561,2018-12-05,ATL,WAS,,,
562,2018-12-08,ATL,DEN,,,
563,2018-12-12,DAL,ATL,,,
564,2018-12-14,BOS,ATL,,,
565,2018-12-16,BRK,ATL,,,
566,2018-12-18,ATL,WAS,,,
567,2018-12-21,NYK,ATL,,,
568,2018-12-23,DET,ATL,,,
569,2018-12-26,ATL,IND,,,
570,2018-12-28,MIN,ATL,,,
571,2018-12-29,ATL,CLE,,,
572,2018-12-31,IND,ATL,,,
573,2019-01-02,WAS,ATL,,,
574,2019-01-04,MIL,ATL,,,
575,2019-01-06,ATL,MIA,,,
576,2019-01-08,TOR,ATL,,,
577,2019-01-09,BRK,ATL,,,
578,2019-01-11,PHI,ATL,,,
579,2019-01-13,ATL,MIL,,,
580,2019-01-15,ATL,OKC,,,
581,2019-01-19,ATL,BOS,,,
582,2019-01-21,ATL,ORL,,,
583,2019-01-23,CHI,ATL,,,
584,2019-01-26,POR,ATL,,,
585,2019-01-28,LAC,ATL,,,
586,2019-01-30,SAC,ATL,,,
587,2019-02-01,UTA,ATL,,,
588,2019-02-02,PHO,ATL,,,
589,2019-02-04,WAS,ATL,,,
590,2019-02-07,ATL,TOR,,,
591,2019-02-09,ATL,CHO,,,
592,2019-02-10,ATL,ORL,,,
593,2019-02-12,ATL,LAL,,,
594,2019-02-14,ATL,NYK,,,
595,2019-02-22,ATL,DET,,,
596,2019-02-23,ATL,PHO,,,
597,2019-02-25,HOU,ATL,,,
598,2019-02-27,ATL,MIN,,,
599,2019-03-01,ATL,CHI,,,
600,2019-03-03,CHI,ATL,,,
601,2019-03-04,MIA,ATL,,,
602,2019-03-06,ATL,SAS,,,
603,2019-03-09,ATL,BRK,,,
604,2019-03-10,ATL,NOP,,,
605,2019-03-13,ATL,MEM,,,
606,2019-03-16,BOS,ATL,,,
607,2019-03-17,ORL,ATL,,,
608,2019-03-19,ATL,HOU,,,
609,2019-03-21,ATL,UTA,,,
610,2019-03-23,ATL,PHI,,,
611,2019-03-26,NOP,ATL,,,
612,2019-03-29,ATL,POR,,,
613,2019-03-31,ATL,MIL,,,
614,2019-04-02,SAS,ATL,,,
615,2019-04-03,ATL,PHI,,,
616,2019-04-05,ORL,ATL,,,
617,2019-04-07,MIL,ATL,,,
618,2019-04-10,ATL,IND,,,
619,2019-10-24,DET,ATL,,,
620,2019-10-26,ATL,ORL,,,
621,2019-10-28,ATL,PHI,,,
622,2019-10-29,MIA,ATL,,,
623,2019-10-31,ATL,MIA,,,
624,2019-11-05,ATL,SAS,,,
625,2019-11-06,ATL,CHI,,,
626,2019-11-08,ATL,SAC,,,
627,2019-11-10,POR,ATL,,,
628,2019-11-12,DEN,ATL,,,
629,2019-11-14,PHO,ATL,,,
630,2019-11-16,LAC,ATL,,,
631,2019-11-17,LAL,ATL,,,
632,2019-11-20,ATL,MIL,,,
633,2019-11-22,DET,ATL,,,
634,2019-11-23,ATL,TOR,,,
635,2019-11-25,ATL,MIN,,,
636,2019-11-27,MIL,ATL,,,
637,2019-11-29,IND,ATL,,,
638,2019-11-30,HOU,ATL,,,
639,2019-12-02,ATL,GSW,,,
640,2019-12-04,ATL,BRK,,,
641,2019-12-08,CHO,ATL,,,
642,2019-12-10,MIA,ATL,,,
643,2019-12-11,CHI,ATL,,,
644,2019-12-13,ATL,IND,,,
645,2019-12-15,ATL,LAL,,,
646,2019-12-17,NYK,ATL,,,
647,2019-12-19,ATL,UTA,,,
648,2019-12-21,BRK,ATL,,,
649,2019-12-23,CLE,ATL,,,
650,2019-12-27,ATL,MIL,,,
651,2019-12-28,CHI,ATL,,,
652,2019-12-30,ORL,ATL,,,
