,index,Unnamed: 0,home,fg_r,fga_r,3p_r,3pa_r,3p_max_r,ft_r,fta_r,orb_r,drb_r,ast_r,stl_r,blk_r,tov_r,fg_opp_r,fga_opp_r,3p_opp_r,3pa_opp_r,3p_max_opp_r,ft_opp_r,fta_opp_r,orb_opp_r,drb_opp_r,ast_opp_r,stl_opp_r,blk_opp_r,tov_opp_r,team,team_opp,date,PointDifference,Line,Covered
67,67,477,1,40.0,82.5,15.5,37.0,4.0,25.5,35.0,10.0,36.0,20.0,6.5,5.5,13.5,37.0,82.0,8.5,27.5,2.5,19.0,23.0,7.0,27.5,22.5,4.0,6.5,14.5,DAL,MEM,10/22/2022,-41,-5.5,1
68,68,1112,0,40.33333333,95.0,15.0,41.66666667,3.666666667,17.66666667,25.33333333,14.33333333,33.33333333,24.33333333,6.0,8.333333333,14.0,44.33333333,97.33333333,14.0,37.0,3.666666667,21.0,28.0,15.33333333,35.0,23.0,6.0,6.0,13.66666667,MEM,DAL,10/22/2022,41,5.5,0
69,69,239,1,36.0,85.33333333,9.0,30.66666667,2.666666667,23.0,28.66666667,10.66666667,29.0,20.33333333,10.66666667,5.333333333,12.33333333,42.0,81.66666667,12.66666667,27.0,4.666666667,16.0,19.0,7.0,37.33333333,26.33333333,6.0,5.0,17.33333333,CHI,CLE,10/22/2022,32,2.0,0
70,70,397,0,43.0,81.0,13.0,27.5,4.0,17.5,20.5,7.0,36.0,28.5,4.5,5.0,17.0,35.0,85.0,10.0,29.5,3.0,22.0,28.5,11.0,27.0,19.0,13.5,5.5,11.5,CLE,CHI,10/22/2022,-32,-2.0,1
71,71,2141,0,38.0,85.66666667,12.66666667,32.33333333,4.333333333,18.66666667,26.0,9.333333333,30.33333333,22.66666667,11.0,4.333333333,10.66666667,38.0,77.66666667,11.33333333,31.0,3.666666667,21.33333333,26.33333333,8.333333333,33.66666667,26.33333333,3.333333333,6.666666667,15.0,TOR,MIA,10/22/2022,3,3.0,0
72,72,1904,0,37.33333333,84.66666667,10.33333333,28.0,4.666666667,26.33333333,32.0,12.33333333,35.66666667,17.66666667,8.333333333,4.0,16.0,41.0,90.33333333,11.0,34.66666667,3.666666667,14.66666667,20.0,7.666666667,33.0,28.0,10.33333333,5.0,14.66666667,POR,LAL,10/23/2022,-2,3.5,1
73,73,1587,1,40.33333333,95.66666667,12.66666667,41.33333333,3.0,17.0,22.0,12.33333333,36.33333333,25.0,7.666666667,5.0,12.0,42.33333333,89.0,13.33333333,36.66666667,4.0,19.66666667,28.66666667,11.66666667,40.0,27.33333333,6.666666667,4.666666667,15.66666667,OKC,MIN,10/23/2022,10,8.0,0
74,74,1349,0,44.66666667,96.33333333,10.33333333,35.0,3.0,19.33333333,26.0,15.66666667,40.66666667,23.0,6.666666667,5.0,16.33333333,42.66666667,101.3333333,14.33333333,45.33333333,4.0,15.66666667,21.33333333,15.33333333,35.66666667,28.33333333,8.0,6.0,12.33333333,MIN,OKC,10/23/2022,-10,-8.0,1
75,75,1429,1,46.66666667,97.66666667,9.333333333,25.0,3.0,22.33333333,28.0,16.66666667,36.33333333,28.0,8.666666667,5.666666667,14.66666667,42.33333333,94.66666667,12.0,35.0,3.666666667,17.33333333,22.0,11.66666667,28.33333333,27.0,10.66666667,6.666666667,15.0,NOP,UTA,10/23/2022,1,-9.0,0
76,76,2220,0,44.66666667,97.33333333,16.33333333,42.0,4.666666667,20.0,26.66666667,15.0,32.0,31.66666667,11.33333333,5.0,16.0,45.66666667,97.33333333,8.0,27.33333333,2.666666667,17.0,21.0,15.0,31.66666667,23.66666667,7.666666667,5.333333333,19.33333333,UTA,NOP,10/23/2022,-1,9.0,1
77,77,1033,1,38.0,93.33333333,8.333333333,39.33333333,2.333333333,19.0,23.66666667,9.0,33.0,24.0,11.33333333,6.0,14.66666667,39.66666667,87.66666667,11.66666667,33.66666667,4.333333333,19.66666667,27.0,11.33333333,41.33333333,22.66666667,8.0,5.333333333,19.66666667,LAL,POR,10/23/2022,2,-3.5,0
78,78,954,1,38.0,81.0,9.0,27.66666667,2.666666667,18.0,24.33333333,8.0,39.0,19.33333333,8.333333333,3.333333333,16.33333333,38.66666667,90.66666667,12.66666667,40.66666667,4.0,16.0,21.33333333,10.0,32.0,25.33333333,7.666666667,4.333333333,11.33333333,LAC,PHX,10/23/2022,17,1.0,0
79,79,2,1,41.33333333,91.33333333,9.333333333,30.33333333,2.666666667,19.33333333,22.66666667,9.666666667,33.33333333,26.33333333,10.0,5.333333333,12.66666667,40.66666667,89.33333333,9.333333333,31.66666667,3.333333333,19.66666667,25.0,13.0,37.0,23.0,6.666666667,5.333333333,15.66666667,ATL,CHA,10/23/2022,17,-10.0,0
80,80,715,1,44.0,91.33333333,15.0,40.66666667,5.333333333,22.33333333,28.66666667,8.0,32.0,29.66666667,9.333333333,4.0,16.33333333,44.33333333,93.33333333,12.0,39.0,4.0,20.0,25.0,11.33333333,35.33333333,28.0,10.66666667,2.666666667,19.0,GSW,SAC,10/23/2022,-5,-10.0,0
81,81,1983,0,42.0,90.0,14.0,40.66666667,5.0,16.0,23.33333333,8.666666667,35.0,27.33333333,7.666666667,4.0,14.33333333,41.66666667,85.33333333,11.33333333,27.66666667,4.333333333,24.0,30.33333333,7.333333333,33.0,22.66666667,8.666666667,3.333333333,12.33333333,SAC,GSW,10/23/2022,5,10.0,1
82,82,398,1,42.33333333,86.0,13.0,29.33333333,4.333333333,19.0,22.0,10.0,34.66666667,25.33333333,6.333333333,5.0,15.66666667,37.66666667,85.66666667,10.66666667,29.0,3.333333333,17.66666667,24.0,8.666666667,28.33333333,21.0,12.0,5.0,13.66666667,CLE,WAS,10/23/2022,-10,-3.5,1
83,83,2299,0,42.0,86.33333333,11.0,28.33333333,3.666666667,12.66666667,16.66666667,7.666666667,34.66666667,24.0,7.333333333,7.333333333,16.66666667,37.66666667,90.66666667,11.66666667,34.0,3.666666667,21.0,26.33333333,12.66666667,30.0,19.66666667,8.333333333,4.333333333,13.66666667,WAS,CLE,10/23/2022,10,3.5,0
84,84,1825,0,42.0,90.66666667,11.0,30.33333333,3.666666667,15.0,18.33333333,10.0,33.33333333,28.33333333,7.666666667,3.0,13.33333333,35.66666667,79.66666667,11.0,32.0,3.666666667,22.0,30.0,9.0,34.66666667,15.66666667,8.0,3.0,14.66666667,PHX,LAC,10/23/2022,-17,-1.0,1
85,85,318,0,46.33333333,93.66666667,12.33333333,29.66666667,3.666666667,17.33333333,22.33333333,13.0,33.66666667,28.0,7.666666667,6.666666667,13.66666667,40.33333333,94.33333333,7.666666667,30.33333333,2.333333333,23.33333333,28.66666667,15.0,32.33333333,22.66666667,8.333333333,8.0,14.0,CHA,ATL,10/23/2022,-17,10.0,1
86,86,1905,1,40.0,84.25,11.75,29.75,5.25,25.5,31.75,11.5,35.75,19.0,7.0,4.5,14.0,42.0,90.5,11.25,33.75,3.75,13.0,18.5,8.25,31.75,28.0,8.75,4.0,13.0,POR,DEN,10/24/2022,-25,5.0,1
87,87,558,0,43.25,86.25,13.0,31.25,4.25,16.0,22.0,10.25,29.75,28.0,7.25,3.0,16.75,43.5,87.0,15.5,38.75,5.0,22.0,28.0,9.25,33.25,28.25,8.25,3.75,14.25,DEN,POR,10/24/2022,25,-5.0,0
88,88,876,0,43.25,98.5,13.5,40.75,3.75,17.75,22.5,15.0,32.5,27.0,6.25,7.5,13.75,40.25,87.0,16.25,36.75,4.5,24.75,31.5,11.25,34.25,26.5,6.75,6.0,13.25,IND,PHI,10/24/2022,14,12.5,0
89,89,1508,1,45.66666667,99.0,12.0,37.33333333,3.0,15.66666667,21.66666667,15.66666667,35.66666667,27.0,6.0,4.666666667,12.33333333,39.0,94.66666667,11.0,40.33333333,3.333333333,18.66666667,27.33333333,15.33333333,36.0,22.33333333,6.0,4.333333333,13.33333333,NYK,ORL,10/24/2022,-13,-7.5,1
90,90,1668,0,39.0,86.75,10.25,33.25,3.75,19.0,24.75,11.25,34.0,18.0,6.25,5.75,14.5,41.25,90.75,14.25,38.25,4.5,18.75,23.25,11.5,32.0,26.25,8.25,3.75,12.5,ORL,NYK,10/24/2022,13,7.5,0
91,91,1350,1,43.0,93.75,9.75,34.0,3.0,20.0,25.5,14.25,40.5,23.25,6.75,5.0,16.25,44.0,102.25,13.75,43.25,4.25,13.5,19.25,15.0,35.75,30.5,8.75,4.5,12.5,MIN,SAS,10/24/2022,9,-8.5,0
92,92,2063,0,43.75,93.5,13.0,35.0,4.5,16.5,23.25,11.75,31.75,30.0,8.25,4.75,14.75,43.5,92.0,10.5,31.5,3.25,21.0,24.25,12.5,33.25,27.0,7.0,6.5,14.75,SAS,MIN,10/24/2022,-9,8.5,1
93,93,1747,1,37.75,81.75,11.75,33.0,3.5,20.25,24.25,7.25,31.25,21.0,7.0,5.0,10.75,40.25,86.25,13.25,39.75,3.75,15.25,20.0,9.75,33.75,25.5,5.0,5.0,12.25,PHI,IND,10/24/2022,-14,-12.5,1
94,94,2142,0,37.0,85.75,13.0,32.25,4.25,18.0,24.5,9.5,33.25,22.5,9.75,4.75,11.0,35.75,79.0,10.5,31.75,3.5,22.0,26.5,8.25,34.75,24.5,3.75,5.75,14.25,TOR,MIA,10/24/2022,-8,3.5,1
95,95,1113,1,42.0,94.75,15.25,39.75,4.75,19.25,26.75,13.75,31.5,23.5,6.25,7.0,12.5,45.0,94.75,12.75,35.0,3.25,21.0,27.5,13.75,32.75,24.0,5.5,6.25,13.0,MEM,BKN,10/24/2022,-10,-1.0,1
96,96,160,0,41.66666667,85.33333333,10.66666667,32.33333333,3.666666667,19.66666667,26.33333333,10.33333333,29.0,25.0,5.666666667,10.0,13.33333333,46.0,93.33333333,13.0,29.33333333,5.333333333,18.0,24.66666667,13.66666667,33.0,25.66666667,8.333333333,3.666666667,11.0,BKN,MEM,10/24/2022,10,1.0,0
97,97,796,1,40.0,93.5,13.0,35.5,3.75,19.0,24.75,15.0,33.25,20.0,6.0,5.5,14.0,45.5,91.5,13.25,32.5,3.25,15.5,22.5,11.75,34.25,27.0,8.5,8.75,14.25,HOU,UTA,10/24/2022,-6,2.0,1
98,98,2221,0,44.5,96.25,15.0,39.5,4.25,17.25,24.0,15.75,31.75,29.5,10.5,6.25,17.0,43.75,95.5,8.75,29.25,3.0,19.5,23.75,15.5,31.25,22.0,7.5,5.75,18.25,UTA,HOU,10/24/2022,6,-2.0,0
99,99,240,1,37.5,85.75,9.25,28.25,3.0,23.75,28.75,11.5,33.25,22.5,9.0,5.5,12.5,40.75,86.25,14.0,32.25,4.5,14.5,17.25,8.75,35.75,26.25,5.75,5.5,15.5,CHI,BOS,10/24/2022,-18,6.0,1
100,100,82,0,41.5,87.0,15.75,40.75,4.0,17.5,20.75,9.75,30.5,22.75,5.5,6.75,11.75,42.25,88.5,11.5,28.75,4.25,19.25,23.75,10.25,33.5,22.25,6.25,4.75,11.25,BOS,CHI,10/24/2022,18,-6.0,0
101,101,1192,1,36.5,82.75,9.75,29.5,3.5,20.75,24.25,8.25,34.75,22.75,5.25,2.5,13.75,38.25,86.25,13.75,35.0,4.0,18.25,22.75,10.5,34.0,21.5,7.75,7.0,12.75,MIA,TOR,10/24/2022,8,-3.5,0
102,102,2300,1,42.5,86.0,10.75,29.5,3.75,15.0,19.0,8.0,35.5,24.5,7.25,7.25,15.25,37.25,90.0,10.75,32.5,3.75,20.5,26.0,12.25,30.0,17.75,7.75,3.5,13.5,WAS,DET,10/25/2022,-21,-5.5,1
103,103,637,0,38.0,91.75,12.25,36.0,4.5,20.0,27.75,13.25,32.75,23.75,7.0,2.5,13.25,45.25,92.25,13.25,35.75,4.0,17.0,22.75,12.5,38.5,26.0,5.75,8.25,13.0,DET,WAS,10/25/2022,21,5.5,0
104,104,1826,1,43.25,91.0,11.25,30.0,3.75,18.25,22.25,11.0,33.5,29.0,7.75,3.25,13.25,37.0,82.5,10.75,32.75,3.75,19.75,26.75,9.25,33.5,18.75,7.75,4.0,14.25,PHX,GSW,10/25/2022,-29,-1.5,1
105,105,716,0,43.25,91.25,13.75,39.25,5.0,20.0,25.75,8.5,31.5,29.25,8.75,4.75,15.5,45.0,93.0,12.0,36.5,4.0,22.0,27.25,12.0,35.0,28.75,10.0,3.0,17.5,GSW,PHX,10/25/2022,29,1.5,0
106,106,955,0,37.25,81.5,9.25,28.5,2.75,17.0,22.75,7.75,39.25,19.75,7.5,6.0,16.75,39.5,95.5,10.5,38.0,3.5,17.0,22.25,12.75,33.75,23.75,8.75,5.25,9.75,LAC,OKC,10/25/2022,14,-5.5,0
107,107,1430,1,46.0,92.25,10.0,25.5,3.25,20.0,25.5,13.5,32.75,27.25,8.25,5.0,14.5,42.0,91.5,12.0,36.0,3.75,17.25,22.5,11.5,27.75,24.75,10.0,6.25,14.0,NOP,DAL,10/25/2022,-2,5.0,1
108,108,478,0,40.33333333,82.33333333,14.33333333,37.66666667,4.0,22.66666667,31.33333333,10.33333333,32.66666667,19.33333333,7.0,5.333333333,12.66666667,39.33333333,80.0,9.666666667,27.33333333,3.0,17.0,21.33333333,6.0,25.66666667,23.33333333,5.0,5.333333333,14.33333333,DAL,NOP,10/25/2022,2,-5.0,0
109,109,1588,1,40.75,99.25,10.5,38.5,2.75,17.75,22.75,14.5,37.0,23.5,8.75,5.75,10.25,40.5,87.5,12.5,35.25,3.75,18.25,26.0,10.5,40.0,25.75,6.25,7.0,16.25,OKC,LAC,10/25/2022,-14,5.5,1
110,110,1351,1,44.8,91.0,11.8,34.0,3.8,18.0,23.6,11.4,38.4,26.0,7.2,5.2,16.2,43.8,100.8,14.2,41.8,4.4,14.8,19.8,14.8,34.0,31.2,8.2,4.0,13.2,MIN,SAS,10/26/2022,-12,-9.5,1
111,111,797,0,39.2,93.6,12.6,36.4,3.6,18.8,24.6,14.8,33.6,19.8,6.2,4.8,15.0,44.0,91.2,13.2,35.0,3.6,16.4,24.0,11.6,35.8,27.2,9.0,8.0,14.4,HOU,UTA,10/26/2022,8,8.5,1
112,112,2143,1,38.8,85.4,13.6,33.2,4.4,16.6,22.4,8.8,33.2,24.4,9.6,4.8,10.6,36.6,79.0,11.6,32.6,3.6,20.2,25.0,7.4,33.8,25.4,4.2,5.0,13.8,TOR,PHI,10/26/2022,-10,2.0,1
113,113,1748,0,38.2,81.2,12.6,33.6,3.6,18.8,23.2,6.6,31.0,22.6,6.8,4.4,11.0,41.4,85.8,13.8,39.2,4.0,14.4,18.8,9.0,33.6,26.8,5.8,5.0,11.6,PHI,TOR,10/26/2022,10,-2.0,0
114,114,2222,1,43.2,95.0,14.6,40.6,4.4,17.8,25.2,14.8,33.8,29.2,10.6,6.0,16.6,42.2,95.2,9.2,31.4,3.0,19.2,23.8,15.2,32.0,21.4,7.4,5.0,18.4,UTA,HOU,10/26/2022,-8,-8.5,0
115,115,1906,1,38.8,83.0,11.8,31.2,5.0,24.0,30.6,11.4,34.0,19.2,7.4,4.4,15.0,42.4,89.8,12.0,34.6,4.0,13.6,18.6,9.6,31.6,29.2,9.6,3.6,13.6,POR,MIA,10/26/2022,21,3.0,0
116,116,1193,0,38.0,83.6,10.8,31.2,3.8,19.8,23.2,9.6,34.0,25.0,6.8,2.4,14.2,37.4,84.6,13.4,35.4,4.0,18.2,23.4,10.6,32.6,21.2,8.0,6.4,14.0,MIA,POR,10/26/2022,-21,-3.0,1
117,117,1509,1,47.25,98.5,11.75,35.5,3.0,16.5,21.75,14.75,35.25,26.75,5.75,6.25,13.25,41.5,95.75,11.5,38.0,3.5,19.0,28.0,13.75,35.25,24.5,6.75,4.5,13.75,NYK,CHA,10/26/2022,-3,-7.5,0
